date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:43	28028/28028	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c14ffa6-6d7c%22	https://colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.ttf	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.ttf	(from https://colorlib.com/preview/theme/capture/css/open-iconic-bootstrap.min.css)
11:32:43	20996/20996	---MCZ	200	added ('OK')	font/opentype	etag:W/%225c14ff9f-5204%22	https://colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.otf	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.otf	(from https://colorlib.com/preview/theme/capture/css/open-iconic-bootstrap.min.css)
11:32:43	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c14ffa6-d605%22	https://colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.svg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/open-iconic/open-iconic.svg	(from https://colorlib.com/preview/theme/capture/css/open-iconic-bootstrap.min.css)
11:32:44	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Aug%202019%2010:32:44%20GMT	https://colorlib.com/preview/theme/capture/css/owl.video.play.png	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/css/owl.video.play.png	(from https://colorlib.com/preview/theme/capture/css/owl.carousel.min.css)
11:32:44	112826/112826	---M--	200	added ('OK')	application/octet-stream	etag:%225c14ffe9-1b8ba%22	https://colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons580c.eot	(from https://colorlib.com/preview/theme/capture/css/ionicons.min.css)
11:32:44	50592/50592	---M--	200	added ('OK')	application/font-woff2	etag:%225c14fff8-c5a0%22	https://colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons580c.woff2	(from https://colorlib.com/preview/theme/capture/css/ionicons.min.css)
11:32:45	66024/66024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c14fff6-101e8%22	https://colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons580c.woff	(from https://colorlib.com/preview/theme/capture/css/ionicons.min.css)
11:32:45	112648/112648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c14fff2-1b808%22	https://colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons580c.ttf	(from https://colorlib.com/preview/theme/capture/css/ionicons.min.css)
11:32:45	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c14fff7-4c76f%22	https://colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/ionicons/fonts/ionicons580c.svg	(from https://colorlib.com/preview/theme/capture/css/ionicons.min.css)
11:32:46	2174/2174	---M--	200	added ('OK')	application/octet-stream	etag:%225c14ffcd-87e%22	https://colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/capture/css/flaticon.css)
